역사명,호선,환승역수,공원수,공원면적합산(㎡),도시자연공원수,한강공원수,daily_avg,위도,경도,러닝_segment수,보정_이용자수합계,보정_누적기록합계,거리보정_이용자수합계,거리보정_누적기록합계,평균_segment_매핑역수,평균_코스거리,평균_경사,평균_역_segment거리_m,최소_역_segment거리_m,cluster,cluster_label
오목교(목동운동장앞),5호선,1,2,1690023.6,0,0,41878,37.524496,126.875181,7.0,2528.266666666667,17825.483333333334,2174.475484693726,14412.038073763966,3.857142857142857,3.0471428571428576,0.1714285714285714,510.8757142857143,269.43,2,도심공원형
발산,5호선,1,3,525415.1,0,0,45062,37.558598,126.837668,4.0,1506.5,21010.0,1048.8498438377335,14261.060014193492,2.5,1.3285,3.4,736.75,718.93,2,도심공원형
방화,5호선,1,3,329813.3,0,0,13297,37.577446,126.812741,4.0,604.3333333333334,8486.166666666666,628.1913770563235,8594.55771535219,1.75,0.741,4.8,452.6775,381.26,2,도심공원형
서울숲,분당선,1,2,486111.3,0,0,24981,37.543617,127.044707,4.0,21074.666666666668,134787.41666666666,21443.721521349555,141035.0776458592,2.75,3.421,0.125,484.395,256.19,2,도심공원형
구일,경인선,1,2,1918979.0,0,0,16369,37.496756,126.870793,5.0,16202.166666666668,66057.5,17975.479265151655,74722.89672333463,2.0,2.238,0.08,232.12000000000003,29.7,2,도심공원형
가좌,경의중앙선,1,2,164739.4,0,0,11251,37.568491,126.915487,4.0,1626.3333333333333,6713.333333333334,1335.1345264479776,4867.278847948065,2.25,2.093,2.525,445.22,111.54,2,도심공원형
서강대,경의중앙선,1,2,92618.1,0,0,4359,37.551881,126.935711,4.0,1891.75,5871.6,315.37123545830326,1732.433203802871,4.25,0.76,-0.05,586.0875,399.68,2,도심공원형
양원,중앙선,1,2,219981.3,1,0,5973,37.606596,127.107906,1.0,97.0,132.0,97.0,132.0,1.0,0.7911,6.1,664.88,664.88,3,도시자연공원인접형
중랑,중앙선,1,2,197763.3,0,0,10545,37.594917,127.076116,5.0,3847.142857142857,31085.857142857145,4264.087601330522,35132.15627815095,4.8,3.8664,0.16,564.4739999999999,514.23,2,도심공원형
대모산입구,분당선,1,9,486037.9,0,0,10840,37.491373,127.07272,2.0,758.65,5658.6,930.6446587445604,6963.482592322708,6.5,5.545,0.0,362.91,239.24,2,도심공원형
개포동,분당선,1,10,587333.1,0,0,8573,37.489116,127.06614,3.0,791.15,5802.1,1242.4857825839708,9067.197764482684,5.666666666666667,4.43,0.0,186.3633333333333,84.22,2,도심공원형
구룡,분당선,1,10,583628.2,0,0,6695,37.486839,127.058856,3.0,366.0833333333333,1628.5,348.5823078264567,1543.4583453392418,5.0,4.63,0.0,371.97,155.44,2,도심공원형
녹천,경원선,1,5,1132382.4,0,0,7729,37.644799,127.051269,5.0,1748.5277777777776,18500.222222222223,2174.6818016292927,22976.83027185145,4.6,3.80066,1.46,452.8,345.27,2,도심공원형
월계,경원선,1,1,1022430.1,0,0,12989,37.633212,127.058831,5.0,1163.611111111111,10968.055555555557,1520.3465005764033,14542.89945811051,3.8,3.54516,2.46,488.978,287.29,2,도심공원형
신이문,경원선,1,6,1020723.3,0,0,15319,37.601854,127.067325,5.0,1106.0761904761905,9084.057142857142,1257.8634538420206,9646.192865445184,5.8,3.9364,0.0399999999999999,480.188,381.96,2,도심공원형
회기,중앙선,1,2,442693.6,0,0,51281,37.58946,127.057583,3.0,992.0,80063.0,992.0,80063.0,1.0,1.5336666666666667,-0.1333333333333333,560.0133333333333,410.14,2,도심공원형
응봉,경원선,1,2,1013714.5,0,0,3436,37.549946,127.034538,7.0,31734.83333333333,176922.75,34867.16251467488,192289.90629109737,2.4285714285714284,2.317285714285714,-0.5142857142857142,517.8371428571429,144.18,2,도심공원형
혜화,4호선,1,5,926461.2,1,0,73187,37.582336,127.001844,2.0,1242.5357142857142,6609.5,568.473536789453,2082.464123376791,5.5,1.613,0.15,619.21,450.98,2,도심공원형
한성대입구(삼선교),4호선,1,4,524857.9,1,0,28164,37.588458,127.006221,4.0,1552.5357142857142,7802.5,2807.9714541336,15769.58874098428,3.5,2.104,3.1,274.425,38.78,3,도시자연공원인접형
수유(강북구청),4호선,1,2,1394510.5,0,0,66513,37.638052,127.025732,3.0,1496.4,21838.2,1384.2417746219664,20728.19613509405,3.0,1.3946666666666665,2.833333333333333,659.1566666666666,557.65,2,도심공원형
쌍문,4호선,1,2,427492.8,0,0,54359,37.648627,127.034709,4.0,1766.4,54107.2,1617.6683561697546,57566.49499774448,2.75,1.20865,1.275,696.0425,489.69,2,도심공원형
상계,4호선,1,2,28585.0,2,0,36697,37.660878,127.073572,3.0,1006.9444444444443,14360.388888888889,1071.3785163397552,15323.127865145916,4.0,4.911,3.333333333333333,337.6166666666666,177.99,3,도시자연공원인접형
불암산,4호선,1,0,0.0,2,0,17698,37.670272,127.079066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,도시자연공원인접형
경찰병원,3호선,1,7,326073.1,0,0,14012,37.495918,127.12454,4.0,87.16666666666667,551.3333333333333,90.02442778966147,592.726887250416,3.0,1.505,1.725,410.74,166.38,2,도심공원형
대청,3호선,1,7,855001.9,0,0,19981,37.493514,127.079532,4.0,1116.9,18366.766666666663,775.8196102637438,16623.345661777996,3.5,1.92775,0.125,558.605,172.0,2,도심공원형
학여울,3호선,1,7,855671.0,0,0,4952,37.496663,127.070594,5.0,8231.65,40387.76666666667,7927.215475951913,38514.87000879668,4.6,3.3839999999999995,1.98,600.088,250.64,2,도심공원형
대치,3호선,1,9,497280.0,0,0,24111,37.494612,127.063642,3.0,791.15,5802.1,429.0045428811002,3143.156199313712,5.666666666666667,4.43,0.0,606.63,503.47,2,도심공원형
매봉,3호선,1,6,693377.7,0,0,23461,37.486947,127.046769,5.0,4725.583333333333,24850.5,4495.594090648537,23408.255743378155,3.4,3.119,1.4200000000000002,475.124,388.39,2,도심공원형
남부터미널(예술의전당),3호선,1,0,0.0,1,0,59783,37.485013,127.016189,4.0,2103.333333333333,161004.33333333334,1940.6618128744376,140667.22962485073,1.5,0.644,9.825,519.4525,409.81,3,도시자연공원인접형
금호,3호선,1,2,110130.5,1,0,15133,37.548034,127.015872,1.0,11.0,13.0,3.957820072014511,4.677423721471695,2.0,0.59,7.4,301.92,301.92,3,도시자연공원인접형
동대입구,3호선,1,0,0.0,1,0,23177,37.559052,127.005602,5.0,19180.6,173684.0,19829.59838957552,176602.19246113824,4.4,2.4692,3.78,527.892,31.74,3,도시자연공원인접형
안국,3호선,1,7,1341209.5,0,0,54901,37.576477,126.985443,2.0,14098.75,73463.5,13327.226208319618,69516.83192644347,2.5,1.721,-0.4,606.64,528.55,2,도심공원형
경복궁(정부서울청사),3호선,1,6,721735.3,1,0,53613,37.575762,126.97353,3.0,2139.75,8893.5,4551.409517071481,21144.91100456096,2.6666666666666665,1.8873333333333333,-2.1666666666666665,442.9933333333333,82.83,2,도심공원형
독립문,3호선,1,2,275424.7,2,0,15968,37.574571,126.957748,7.0,7323.833333333334,17327.166666666664,8063.41204819373,19116.86033464254,2.142857142857143,1.999428571428572,8.557142857142857,561.9342857142857,337.03,3,도시자연공원인접형
무악재,3호선,1,1,112606.1,2,0,8100,37.582299,126.950291,7.0,13038.333333333334,29790.666666666664,12293.735826322976,28020.468145791136,1.7142857142857142,1.8337142857142856,10.842857142857143,632.0828571428572,289.91,3,도시자연공원인접형
홍제,3호선,1,2,991324.9,2,0,34259,37.589066,126.943736,2.0,76.83333333333333,235.16666666666663,60.13255223538218,194.46909546052004,2.5,5.8063,-0.05,698.185,639.8,3,도시자연공원인접형
녹번,3호선,1,2,1004694.0,1,0,27881,37.600927,126.935756,4.0,2610.5,5687.5,2618.27676314068,5715.217181450116,1.25,2.457425,0.3999999999999999,494.335,343.1,3,도시자연공원인접형
양천구청,2호선,1,6,2239347.7,0,0,13274,37.512398,126.865819,5.0,2663.016666666667,76512.65,2334.9589353960355,73887.69394176848,2.8,2.0582000000000003,-0.32,615.654,514.55,2,도심공원형
도림천,2호선,1,1,1668613.0,0,0,2658,37.514287,126.882768,10.0,12314.6,241933.9833333333,12857.262452955609,247849.575754998,3.3,2.8274,-0.03,361.086,60.65,2,도심공원형
신답,2호선,1,3,38270.4,0,0,3331,37.57004,127.046481,3.0,877.6839826839827,4180.205627705627,2083.475468969727,9979.423673102316,8.0,3.023333333333333,-0.2666666666666666,60.61333333333334,2.63,2,도심공원형
용답,2호선,1,3,593521.3,0,0,5865,37.561904,127.050899,5.0,2161.183982683983,103920.40562770562,2631.0181812593346,62842.53323649884,6.2,1.99,0.7200000000000001,262.25,46.09,2,도심공원형
신대방,2호선,1,2,497213.1,0,0,47716,37.487462,126.913149,4.0,3154.95,99026.1,5127.006210802148,76858.28544589102,4.75,1.0655,-0.2,467.4875,6.9,2,도심공원형
봉천,2호선,1,1,129677.8,1,0,46020,37.482362,126.941892,2.0,779.25,5800.5,56.878504599219,414.723569614187,4.0,0.8664999999999999,4.05,766.61,734.82,3,도시자연공원인접형
낙성대,2호선,1,2,442301.5,1,0,53058,37.47693,126.963693,5.0,2751.333333333333,6988.333333333334,2759.315726740801,7015.231455586063,1.6,2.8032,4.38,634.358,400.6,3,도시자연공원인접형
서초,2호선,1,1,671580.2,0,0,41346,37.491897,127.007917,4.0,2389.5333333333333,162482.73333333334,1953.8582746342968,109599.13475391964,2.75,0.50175,7.65,618.555,484.31,2,도심공원형
삼성(무역센터),2호선,1,2,947914.1,0,0,104657,37.508844,127.06316,7.0,9314.083333333334,37569.083333333336,9598.507323773969,39227.74819660349,3.142857142857143,0.8788571428571428,4.585714285714286,501.2585714285714,85.76,2,도심공원형
성수,2호선,1,2,537837.8,0,0,102254,37.544581,127.055961,2.0,536.75,1285.0,535.1498282231885,1277.5908445060816,2.5,2.68,0.2,374.68,169.91,2,도심공원형
뚝섬,2호선,1,3,1018831.8,0,0,49494,37.547184,127.047367,4.0,6136.083333333334,43365.0,2376.473116845622,20308.50788704207,3.25,2.25525,0.025,591.0550000000001,515.11,2,도심공원형
한양대,2호선,1,2,1013714.5,0,0,23125,37.555273,127.043655,5.0,7326.630952380952,132813.39047619049,7885.883860021764,179113.83195649958,4.2,1.8262,0.9,460.99799999999993,205.54,2,도심공원형
을지로입구,2호선,1,3,92840.4,0,0,97602,37.566014,126.982618,2.0,12373.7,27631.825,11771.316253645267,26050.612469286607,6.5,0.86,2.2,360.17,283.65,2,도심공원형
종로5가,1호선,1,5,660318.8,0,0,45902,37.570926,127.001849,2.0,6117.285714285715,13850.285714285714,10789.451171912637,24979.755405200875,7.0,1.5665,-0.5,420.26,185.61,2,도심공원형
종각,1호선,1,6,543036.9,0,0,74192,37.570161,126.982923,3.0,13740.45,34623.325,16593.197570845692,37285.88719426618,5.666666666666667,1.454,1.4666666666666666,421.25,150.03,2,도심공원형
교대(법원.검찰청),2호선,2,2,678585.4,0,0,87316,37.493961,127.014667,2.0,1385.5333333333333,158881.73333333334,1943.361143435524,231986.31982010385,4.0,0.6285,3.1,524.7950000000001,330.99,2,도심공원형
노원,7호선,2,4,72380.2,0,0,82993,37.654836,127.060462,5.0,2028.8611111111115,17616.722222222223,2125.06372500556,18509.770633202665,5.6,4.740119999999999,-0.1399999999999999,534.634,506.96,2,도심공원형
동대문,1호선,2,4,272747.5,0,0,61485,37.571687,127.01093,3.0,6147.922077922079,13900.467532467532,4597.165095098689,9572.620399679849,8.333333333333334,2.644333333333333,-0.3333333333333333,405.6933333333333,124.02,2,도심공원형
마곡나루,9호선,2,2,525466.0,0,0,50941,37.566778,126.82731,4.0,4933.833333333333,125345.0,5526.453398070207,133443.14368364788,2.5,1.05825,0.05,278.34000000000003,209.33,2,도심공원형
시청,2호선,2,5,198985.0,0,0,100748,37.563588,126.975411,2.0,3540.25,7110.875,1677.3509237546336,3374.2119400492484,6.0,1.015,1.5,623.7850000000001,555.49,2,도심공원형
신촌,2호선,2,2,92618.1,0,0,77589,37.555131,126.936926,2.0,4580.0,80417.6,4578.021843894419,80402.829767745,3.0,2.05,0.45,693.605,595.2,2,도심공원형
영등포구청,5호선,2,3,1705048.9,0,0,52689,37.5242,126.89503,2.0,144.0,8648.333333333332,28.65938977152388,1725.4434161685192,3.0,0.92,0.1,711.45,638.86,2,도심공원형
잠실(송파구청),8호선,2,4,328075.2,0,0,199254,37.514692,127.104338,1.0,2133.2,33618.4,3591.3552793314666,56598.35848616022,5.0,2.652,0.0,257.88,257.88,2,도심공원형
서울역,1호선,6,2,46638.3,1,0,222197,37.556228,126.972135,3.0,676.75,88783.5,555.2289942768766,74497.70522652622,4.666666666666667,2.982333333333333,2.2666666666666666,537.5366666666667,398.93,3,도시자연공원인접형
신림,2호선,2,1,129677.8,1,0,111309,37.484201,126.929715,2.0,1668.9,13973.6,1417.724183324951,12894.960605479824,4.5,0.9475,-0.25,529.755,322.59,3,도시자연공원인접형
가산디지털단지,7호선,2,2,269072.4,0,0,110855,37.480338,126.882656,3.0,7238.333333333333,38441.66666666666,7170.994965083915,38179.44981169974,2.0,3.293333333333333,0.0999999999999999,660.0,612.46,2,도심공원형
양재(서초구청),3호선,2,1,254648.0,1,0,89684,37.484477,127.033902,2.0,358.5,594.5,354.33986344386506,590.339863443865,1.5,0.8125,3.2,699.49,650.94,3,도시자연공원인접형
여의도,9호선,2,2,245930.2,0,0,111413,37.52176,126.92403,3.0,3775.8888888888887,52499.77777777778,3777.4407416635386,58255.41909176237,5.666666666666667,3.943333333333333,0.2666666666666666,443.85666666666674,394.27,2,도심공원형
을지로3가,2호선,2,3,237363.9,1,0,71896,37.566306,126.991696,3.0,17965.7,40692.110714285714,27859.276969309016,63223.7353176256,6.666666666666667,0.9266666666666667,1.5666666666666664,231.15,225.24,3,도시자연공원인접형
성신여대입구(돈암),4호선,2,2,383454.3,0,0,51095,37.592612,127.016441,7.0,3411.25,43392.25,3515.191270857042,44635.43147326796,2.7142857142857144,0.7251428571428572,3.414285714285714,583.7814285714286,187.04,2,도심공원형
동대문역사문화공원,4호선,3,2,218729.0,1,0,75571,37.565133,127.007885,3.0,6286.785714285715,14159.035714285714,3723.9107266596793,8501.542005345267,6.0,1.2943333333333331,2.9,693.4766666666668,563.7,3,도시자연공원인접형
수서,3호선,3,2,630145.1,0,0,70732,37.487378,127.101907,4.0,7493.0,27380.5,7812.350006827499,28996.90627877653,2.0,1.89575,6.125,560.2525,78.71,2,도심공원형
불광,3호선,2,2,162037.5,1,0,42748,37.610553,126.92982,1.0,172.0,214.5,141.62903167157558,176.6245772880986,2.0,1.09,-19.9,646.14,646.14,3,도시자연공원인접형
종로3가,5호선,3,6,931389.8,0,0,103920,37.57254,126.990305,3.0,17965.7,40692.110714285714,13413.509599356774,30450.00324957839,6.666666666666667,0.9266666666666667,1.5666666666666664,489.8,465.02,2,도심공원형
을지로4가,2호선,2,3,234714.2,0,0,40366,37.566595,126.997817,3.0,17965.7,40692.110714285714,15800.46625788618,36103.38483790256,6.666666666666667,0.9266666666666667,1.5666666666666664,443.1033333333333,266.61,2,도심공원형
군자(능동),7호선,2,3,1118925.1,0,0,50603,37.556897,127.079338,3.0,1825.0,26831.333333333336,1190.6883933096574,17413.655051019156,3.0,1.4373333333333334,-0.1333333333333333,625.6566666666666,569.29,2,도심공원형
약수,3호선,2,1,96582.0,1,0,31532,37.554867,127.010541,2.0,181.1,347.75,39.12351749251455,80.80358867845106,4.5,0.725,8.8,604.23,589.37,3,도시자연공원인접형
석계,6호선,2,4,115542.6,0,0,39285,37.614872,127.065595,4.0,944.7428571428572,6376.842857142858,916.9440471120922,6308.655348163714,5.75,2.3955,0.075,501.2175,311.09,2,도심공원형
동묘앞,1호선,2,3,255797.5,0,0,39037,37.573197,127.01648,2.0,555.922077922078,840.1818181818181,309.7292489758749,469.7967603146965,9.0,3.4365,-0.65,463.945,311.09,2,도심공원형
대방,경부선,2,2,344858.6,0,0,26238,37.513342,126.926382,3.0,941.4722222222224,32168.944444444445,609.8920038130774,27595.358446921386,5.333333333333333,3.223333333333333,0.0,428.7466666666666,267.11,2,도심공원형
충정로(경기대입구),2호선,2,2,46638.3,1,0,28919,37.559704,126.964378,1.0,555.5,88449.5,644.6626052616296,102646.4178291422,2.0,0.264,0.0,360.38,360.38,3,도시자연공원인접형
석촌,8호선,2,4,358863.2,0,0,36630,37.505557,127.106832,3.0,2490.7,43574.9,2220.2772332509417,39521.53575312266,3.0,1.7473333333333334,0.0,549.9133333333333,410.62,2,도심공원형
올림픽공원(한국체대),9호선(연장),2,2,1593122.5,0,0,28376,37.516269,127.130288,5.0,12612.125,72532.29166666667,15994.608397509066,63146.30821091868,4.0,1.8018,0.3,353.838,32.8,2,도심공원형
태릉입구,7호선,2,5,1150619.2,0,0,28320,37.618294,127.075397,5.0,1302.7428571428572,10703.509523809524,957.609271827032,6338.335936076243,5.2,2.1284,0.12,534.28,239.81,2,도심공원형
신길,경부선,2,3,297242.5,0,0,25543,37.516862,126.917865,4.0,3927.3888888888887,53612.77777777778,2764.415549010674,37493.3929415487,4.75,3.4525,0.1999999999999999,422.5975,183.11,2,도심공원형
도곡,분당선,2,8,728675.1,0,0,25889,37.491224,127.055186,4.0,415.5833333333333,1754.75,313.35124011875087,1324.184967670037,4.75,3.7025,0.3,670.4675,372.6,2,도심공원형
보라매,7호선,2,3,798479.8,0,0,21467,37.499872,126.920428,2.0,1273.8,83597.0,645.9242666503311,42451.73840164748,5.0,1.206,-0.05,667.5699999999999,591.64,2,도심공원형
샛강,9호선,2,2,344858.6,0,0,18195,37.517274,126.928422,2.0,762.1388888888889,2036.2777777777776,1505.5170170612632,3924.662580513845,6.5,4.67,0.35,136.725,82.7,2,도심공원형
오금,3호선,2,6,358751.8,0,0,18802,37.502129,127.128319,6.0,151.66666666666666,857.1666666666666,133.16880764084326,744.6173705691571,2.6666666666666665,0.7066666666666667,0.55,491.125,355.02,2,도심공원형
봉화산(서울의료원),6호선,1,3,1091240.5,0,0,15870,37.617283,127.091401,6.0,990.0,9461.2,711.0845472608517,7923.260376811426,2.6666666666666665,1.5644166666666666,1.1333333333333333,341.49666666666667,102.65,2,도심공원형
양평,5호선,1,2,1679860.7,0,0,21774,37.525569,126.886129,6.0,4901.0,24654.08333333333,3887.083004707381,19473.95717886109,3.6666666666666665,2.688333333333334,0.2166666666666666,466.3866666666666,222.97,2,도심공원형
회현(남대문시장),4호선,1,3,90264.8,1,0,55293,37.558514,126.978246,3.0,6295.25,15014.0,6439.866079433621,15425.34378216772,4.333333333333333,3.2756666666666665,-1.2000000000000002,464.81,124.55,3,도시자연공원인접형
명동,4호선,1,0,0.0,1,0,75353,37.560989,126.986325,4.0,11156.75,76323.625,9260.55747999652,73535.8891837014,5.75,2.98075,0.4,655.3725,541.32,3,도시자연공원인접형
서울대입구(관악구청),2호선,1,1,405054.1,1,0,88598,37.481247,126.952739,1.0,315.5,1152.5,432.7370220297953,1580.7588522641493,2.0,0.68,9.2,361.13,361.13,3,도시자연공원인접형
충무로,4호선,2,0,0.0,1,0,60374,37.561207,126.99408,4.0,24591.5,186396.5357142857,21127.546597535045,175702.77495490774,5.0,2.989,0.4000000000000001,632.745,511.49,3,도시자연공원인접형
디지털미디어시티,6호선,3,1,76393.6,1,0,58555,37.576108,126.901391,4.0,719.3333333333334,4878.166666666667,891.924924206525,6392.834479299182,3.25,4.342499999999999,-2.425,441.28,98.85,3,도시자연공원인접형
