CELL_ID,strava_score_raw
다사38505375,18.2
다사38755300,18.2
다사38755325,55.7
다사38755350,55.7
다사38755375,88.7
다사39005350,37.5
다사39005375,151.4
다사39005400,70.5
다사39255350,43.4
다사39255375,113.9
다사39504900,16.433333333333334
다사39504925,16.433333333333334
다사39504950,16.433333333333334
다사39504975,16.433333333333334
다사39505000,16.433333333333334
다사39505025,12.833333333333334
다사39505350,43.4
다사39505375,43.4
다사39754175,129.0
다사39754200,129.0
다사39754225,51.16666666666666
다사39754250,51.16666666666666
다사39754275,51.16666666666666
다사39754925,45.66666666666666
다사39754950,37.0
다사39755000,2.7142857142857144
다사40004175,180.16666666666663
다사40004200,51.16666666666666
다사40004225,51.16666666666666
다사40004275,38.4
다사40004300,38.4
다사40004900,8.666666666666666
다사40004925,45.66666666666666
다사40004950,37.0
다사40004975,39.71428571428572
다사40005000,2.7142857142857144
다사40005025,2.7142857142857144
다사40005175,35.333333333333336
다사40005200,35.333333333333336
다사40005375,102.03846153846152
다사40005400,102.03846153846152
다사40254275,38.4
다사40254300,38.4
다사40254650,20.0
다사40254675,20.0
다사40254700,20.0
다사40254925,37.0
다사40254950,37.0
다사40254975,2.7142857142857144
다사40255000,2.7142857142857144
다사40255025,2.7142857142857144
다사40255175,64.33333333333334
다사40255375,102.03846153846152
다사40504300,38.4
다사40504475,38.0
다사40504600,67.5
다사40504625,33.0
다사40505350,102.03846153846152
다사40505375,102.03846153846152
다사40754300,88.33333333333333
다사40754325,88.33333333333333
다사40754575,34.5
다사40754600,60.83333333333333
다사40754625,59.33333333333333
다사40754750,2051.0
다사40754775,467.0
다사40755175,260.0
다사40755200,1714.6666666666667
다사40755225,1714.6666666666667
다사40755250,1714.6666666666667
다사40755350,102.03846153846152
다사41004325,88.33333333333333
다사41004575,34.5
다사41004600,26.33333333333333
다사41004750,467.0
다사41005175,260.0
다사41005200,260.0
다사41005225,260.0
다사41005250,260.0
다사41005275,1098.75
다사41005300,1098.75
다사41005325,1200.7884615384614
다사41005350,102.03846153846152
다사41255325,1200.7884615384614
다사41505000,115.25
다사41505025,115.25
다사41505050,66.66666666666667
다사41505275,35.666666666666664
다사41505300,102.03846153846152
다사41505325,102.03846153846152
다사41755000,115.25
다사41755025,394.6666666666667
다사41755050,394.6666666666667
다사41755275,35.666666666666664
다사41755300,137.7051282051282
다사42004175,21.071428571428573
다사42004200,21.071428571428573
다사42004225,21.071428571428573
다사42004250,21.071428571428573
다사42004400,9.75
다사42004425,9.75
다사42004825,4.25
다사42004850,4.25
다사42004875,4.25
다사42005000,115.25
다사42005025,1460.0
다사42005050,328.0
다사42005275,362.37179487179486
다사42005300,102.03846153846152
다사42254250,21.071428571428573
다사42254400,3.75
다사42254425,9.75
다사42254825,4.25
다사42255250,374.12179487179486
다사42255275,374.12179487179486
다사42504250,21.071428571428573
다사42504500,107.25
다사42504525,107.25
다사42505250,113.78846153846152
다사42754250,21.071428571428573
다사42754275,21.071428571428573
다사42754300,21.071428571428573
다사42754500,107.25
다사42754525,107.25
다사42754550,24.0
다사42755050,11.6
다사42755225,113.78846153846152
다사42755250,113.78846153846152
다사43004300,21.071428571428573
다사43004550,24.0
다사43004975,27.666666666666668
다사43005000,27.666666666666668
다사43005025,11.6
다사43005050,11.6
다사43005200,113.78846153846152
다사43005225,113.78846153846152
다사43254300,21.071428571428573
다사43254325,21.071428571428573
다사43254350,45.13392857142857
다사43255000,39.266666666666666
다사43255025,11.6
다사43255175,1678.6884615384615
다사43255200,3024.188461538461
다사43255225,1345.5
다사43504350,45.13392857142857
다사43505175,1678.6884615384615
다사43505225,1345.5
다사43505250,1345.5
다사43754350,24.0625
다사43754375,24.0625
다사43755150,3205.5884615384616
다사43755175,1678.6884615384615
다사43755250,1345.5
다사43755275,1348.6666666666667
다사44004375,24.0625
다사44004400,24.0625
다사44004525,6.4
다사44004550,6.4
다사44004650,213.25
다사44004675,213.25
다사44005025,25.5
다사44005050,25.5
다사44005125,3103.55
다사44005150,3103.55
다사44005275,893.7680491551458
다사44005300,1196.9347158218125
다사44005325,166.38709677419354
다사44254275,35.94485294117647
다사44254300,35.94485294117647
다사44254350,1787.0625
다사44254375,3229.8125
다사44254400,1493.455357142857
다사44254425,1469.392857142857
다사44254450,2511.559523809524
다사44254475,1068.809523809524
다사44254525,6.4
다사44254550,6.4
다사44254575,6.4
다사44254650,213.25
다사44254675,213.25
다사44255100,3103.55
다사44255125,3103.55
다사44255225,3.1666666666666665
다사44255250,893.7680491551458
다사44255275,893.7680491551458
다사44255300,306.3333333333333
다사44255325,472.72043010752685
다사44504225,35.94485294117647
다사44504250,1437.7448529411763
다사44504275,1437.7448529411763
다사44504300,1774.8823529411766
다사44504325,1774.8823529411766
다사44504475,1068.809523809524
다사44504500,1068.809523809524
다사44504525,1068.809523809524
다사44504550,2066.2380952380954
다사44504575,763.0
다사44504600,763.0
다사44505075,1538.65
다사44505100,3103.55
다사44505200,3.1666666666666665
다사44505225,3.1666666666666665
다사44505250,890.6013824884792
다사44505325,472.72043010752685
다사44754175,131.23056722689077
다사44754200,1437.7448529411763
다사44754225,1413.6823529411763
다사44754250,1401.8
다사44754550,1024.071428571429
다사44754575,1024.071428571429
다사44754600,1786.071428571429
다사44754625,763.0
다사44754825,140.75
다사44754850,140.75
다사44754925,274.0
다사44755025,636.7970401691332
다사44755050,2175.4470401691333
다사44755075,1541.7197674418603
다사44755175,3.1666666666666665
다사44755200,3.1666666666666665
다사44755225,890.6013824884792
다사44755250,890.6013824884792
다사44755300,306.3333333333333
다사44755325,472.72043010752685
다사45004125,107.16806722689076
다사45004150,107.16806722689076
다사45004175,11.882352941176473
다사45004600,1024.071428571429
다사45004625,1786.071428571429
다사45004650,766.0697674418604
다사45004675,766.0697674418604
다사45004700,46.06976744186046
다사45004725,481.0697674418605
다사45004750,3.069767441860465
다사45004775,3.069767441860465
다사45004825,140.75
다사45004850,140.75
다사45004975,3.069767441860465
다사45005000,3844.047040169133
다사45005025,3844.047040169133
다사45005050,4748.96976744186
다사45005175,3.1666666666666665
다사45005200,3951.268049155146
다사45005225,1881.1013824884792
다사45005300,166.38709677419354
다사45005325,166.38709677419354
다사45254100,107.16806722689076
다사45254125,107.16806722689076
다사45254150,11.882352941176473
다사45254625,1046.071428571429
다사45254650,3104.0697674418607
다사45254675,3.069767441860465
다사45254700,117.1531007751938
다사45254725,531.1531007751938
다사45254750,96.1531007751938
다사45254775,3.069767441860465
다사45254950,636.7970401691332
다사45254975,2219.9398973119905
다사45255000,5427.18989731199
다사45255025,11.75
다사45255050,11.75
다사45255150,3.1666666666666665
다사45255175,2963.9347158218125
다사45255200,2960.768049155146
다사45255225,2298.7
다사45255250,2298.7
다사45255275,166.38709677419354
다사45255300,166.38709677419354
다사45255425,33.0
다사45255450,33.0
다사45255475,18.25
다사45504075,95.28571428571428
다사45504100,107.16806722689076
다사45504600,1.0
다사45504625,23.0
다사45504700,21.0
다사45504750,96.1531007751938
다사45504775,96.1531007751938
다사45504800,3.069767441860465
다사45504900,636.7970401691332
다사45504925,636.7970401691332
다사45504950,2219.9398973119905
다사45504975,1586.2126245847176
다사45505000,11.75
다사45505025,11.75
다사45505150,3.1666666666666665
다사45505175,2960.768049155146
다사45505225,233.2
다사45505250,3484.015668202765
다사45505275,3250.8156682027648
다사45505425,33.0
다사45505475,18.25
다사45505500,18.25
다사45754600,1.0
다사45754625,22.0
다사45754775,96.1531007751938
다사45754800,96.1531007751938
다사45754825,3.069767441860465
다사45754850,3.069767441860465
다사45754875,96.1531007751938
다사45754900,4246.939897311991
다사45754925,1586.2126245847176
다사45754950,1586.2126245847176
다사45754975,3.069767441860465
다사45755000,11.75
다사45755125,3.1666666666666665
다사45755150,2963.9347158218125
다사45755175,2960.768049155146
다사45755225,233.2
다사45755250,2175.8156682027648
다사45755500,18.25
다사46004575,1.0
다사46004600,1.0
다사46004800,2123.1531007751937
다사46004825,2123.1531007751937
다사46004850,2123.1531007751937
다사46004875,2123.1531007751937
다사46004900,2030.0697674418604
다사46004975,11.75
다사46005000,11.75
다사46005125,8016.166666666667
다사46005150,166.38709677419354
다사46005175,166.38709677419354
다사46005200,2175.8156682027648
다사46005225,2175.8156682027648
다사46005250,2175.8156682027648
다사46254450,2040.5
다사46254475,2040.5
다사46254625,127.66666666666666
다사46254650,127.66666666666666
다사46254675,111.33333333333331
다사46255075,2249.8
다사46255125,95.23333333333332
다사46255200,2175.8156682027648
다사46255225,41.0
다사46255250,41.0
다사46255275,41.0
다사46504525,153.5
다사46504550,44.5
다사46504625,16.333333333333332
다사46504650,16.333333333333332
다사46505050,2249.8
다사46505075,2249.8
다사46505100,1095.5
다사46505125,95.23333333333332
다사46505150,95.23333333333332
다사46505200,130.0
다사46505225,130.0
다사46754525,109.0
다사46754625,16.333333333333332
다사46754650,16.333333333333332
다사46755025,2249.8
다사46755050,2249.8
다사46755100,1095.5
다사46755125,92.06666666666666
다사46755150,366.56666666666666
다사46755175,274.5
다사46755200,404.5
다사46755225,133.16666666666666
다사46755250,3.1666666666666665
다사46755450,45.526315789473685
다사46755475,510.3263157894737
다사46755500,510.3263157894737
다사47003725,54.6
다사47004925,5232.0
다사47005000,2249.8
다사47005025,2249.8
다사47005150,92.06666666666666
다사47005175,271.3333333333333
다사47005200,271.3333333333333
다사47005225,271.3333333333333
다사47005250,271.3333333333333
다사47005275,271.3333333333333
다사47005300,271.3333333333333
다사47005400,45.526315789473685
다사47005425,45.526315789473685
다사47005450,512.8263157894737
다사47005475,510.3263157894737
다사47005500,510.3263157894737
다사47005525,505.1263157894737
다사47005550,505.1263157894737
다사47005575,505.1263157894737
다사47005600,505.1263157894737
다사47005625,1712.6263157894737
다사47005650,1253.0263157894738
다사47005675,1256.5263157894738
다사47005700,1527.5263157894738
다사47005725,271.0
다사47005750,271.0
다사47253725,54.6
다사47254300,657.8333333333334
다사47254400,27.0
다사47254925,5232.0
다사47254950,5232.0
다사47254975,932.8
다사47255000,932.8
다사47255150,92.06666666666666
다사47255175,92.06666666666666
다사47255325,5.5
다사47255350,5.5
다사47255400,48.026315789473685
다사47255425,48.026315789473685
다사47255450,48.026315789473685
다사47255750,271.0
다사47256100,50.22222222222222
다사47503725,67.43333333333334
다사47503750,54.6
다사47504050,58.0
다사47504300,657.8333333333334
다사47504400,27.0
다사47504425,27.0
다사47504950,5232.0
다사47504975,6164.8
다사47505175,92.06666666666666
다사47505325,5.5
다사47505350,5.5
다사47505375,5.5
다사47505775,125.73333333333332
다사47505800,475.4
다사47505825,475.4
다사47505850,475.4
다사47505900,326.53333333333336
다사47505925,326.53333333333336
다사47505950,125.73333333333332
다사47506100,50.22222222222222
다사47753725,14.369918699186991
다사47753750,68.96991869918699
다사47753775,14.369918699186991
다사47753950,14.0
다사47754100,11.666666666666666
다사47754125,11.666666666666666
다사47754300,657.8333333333334
다사47754625,101.0
다사47754650,101.0
다사47754750,53.075
다사47754775,53.075
다사47754800,53.075
다사47754825,1237.3826923076924
다사47755125,2.5
다사47755150,2.5
다사47755175,92.06666666666666
다사47755350,5.5
다사47755375,5.5
다사47755400,5.5
다사47755800,125.73333333333332
다사47755850,125.73333333333332
다사47755875,125.73333333333332
다사47755900,326.53333333333336
다사47755925,200.8
다사47755950,326.53333333333336
다사47756100,50.22222222222222
다사48003775,14.369918699186991
다사48003800,14.369918699186991
다사48003825,1.5365853658536586
다사48003975,26.666666666666668
다사48004000,26.666666666666668
다사48004100,11.666666666666666
다사48004300,657.8333333333334
다사48004325,657.8333333333334
다사48004625,101.0
다사48004700,53.075
다사48004725,53.075
다사48004750,53.075
다사48004825,1237.3826923076924
다사48004850,1429.271581196581
다사48005125,2.5
다사48005150,2.5
다사48005175,92.06666666666666
다사48005200,92.06666666666666
다사48005400,494.5
다사48005425,494.5
다사48005450,494.5
다사48005950,125.73333333333332
다사48005975,589.2333333333333
다사48006075,50.22222222222222
다사48253775,12.833333333333334
다사48253800,12.833333333333334
다사48253825,1.5365853658536586
다사48253925,4.8
다사48253950,4.8
다사48253975,26.666666666666668
다사48254325,657.8333333333334
다사48254350,8.125
다사48254375,8.125
다사48254675,353.7892857142857
다사48254700,1559.2892857142856
다사48254725,1205.5
다사48254850,1429.271581196581
다사48255125,2.5
다사48255150,2.5
다사48255200,92.06666666666666
다사48255225,92.06666666666666
다사48255450,494.5
다사48255475,494.5
다사48255500,494.5
다사48255525,5.5
다사48255550,5.5
다사48255900,15.5
다사48255975,589.2333333333333
다사48256050,265.22222222222223
다사48256075,50.22222222222222
다사48503800,12.833333333333334
다사48503825,14.369918699186991
다사48503850,153.869918699187
다사48503875,153.869918699187
다사48503925,4.8
다사48503950,4.8
다사48503975,26.666666666666668
다사48504200,46.0
다사48504225,46.0
다사48504350,646.9821428571429
다사48504375,3160.125
다사48504400,8.125
다사48504650,53.075
다사48504675,353.7892857142857
다사48504700,1205.5
다사48504725,1205.5
다사48504825,1429.271581196581
다사48504850,1429.271581196581
다사48505175,285.0
다사48505200,285.0
다사48505225,92.06666666666666
다사48505900,38.5
다사48505925,23.0
다사48505950,28.166666666666668
다사48505975,624.0
다사48506000,839.0
다사48506025,215.0
다사48506050,265.22222222222223
다사48506075,50.22222222222222
다사48753825,12.833333333333334
다사48753850,12.833333333333334
다사48753875,153.869918699187
다사48753900,153.869918699187
다사48753925,4.8
다사48753950,26.666666666666668
다사48753975,26.666666666666668
다사48754300,638.8571428571429
다사48754325,638.8571428571429
다사48754350,646.9821428571429
다사48754375,3160.125
다사48754400,8.125
다사48754650,353.7892857142857
다사48754675,300.7142857142857
다사48754725,1205.5
다사48754750,1205.5
다사48754825,1429.271581196581
다사48754975,840.0
다사48755150,285.0
다사48755175,285.0
다사48755875,23.0
다사48755900,47.5
다사48755925,24.5
다사48755950,351.4166666666667
다사48755975,301.4166666666667
다사48756075,50.22222222222222
다사49003875,30.75
다사49003900,153.869918699187
다사49003925,153.869918699187
다사49003950,1.5365853658536586
다사49004025,36.0
다사49004100,13.5
다사49004125,8.75
다사49004150,8.75
다사49004175,9.75
다사49004200,9.75
다사49004275,638.8571428571429
다사49004300,638.8571428571429
다사49004625,53.075
다사49004650,353.7892857142857
다사49004750,1205.5
다사49004775,1205.5
다사49004800,1237.3826923076924
다사49004825,1429.271581196581
다사49004975,840.0
다사49005100,285.0
다사49005125,285.0
다사49005150,285.0
다사49005225,3.5
다사49005250,3.5
다사49005925,370.75
다사49005950,351.4166666666667
다사49005975,301.4166666666667
다사49006000,301.4166666666667
다사49253875,30.75
다사49253925,1.5365853658536586
다사49253950,1.5365853658536586
다사49254000,39.14285714285714
다사49254025,36.0
다사49254050,8.0
다사49254100,13.5
다사49254150,8.75
다사49254175,18.5
다사49254200,9.75
다사49254275,638.8571428571429
다사49254525,269.0
다사49254550,269.0
다사49254625,53.075
다사49254650,300.7142857142857
다사49254750,1205.5
다사49254775,1205.5
다사49254800,1429.271581196581
다사49254825,191.88888888888889
다사49254975,840.0
다사49255000,53.333333333333336
다사49255025,53.333333333333336
다사49255100,285.0
다사49255225,3.5
다사49255250,3.5
다사49255450,32.707070707070706
다사49255475,15.818181818181818
다사49255925,370.75
다사49255950,5.166666666666667
다사49256000,301.4166666666667
다사49503850,30.75
다사49503875,30.75
다사49503950,1.5365853658536586
다사49503975,1.5365853658536586
다사49504000,11.142857142857142
다사49504025,11.142857142857142
다사49504050,11.142857142857142
다사49504075,11.142857142857142
다사49504625,53.075
다사49504775,1237.3826923076924
다사49504800,1429.271581196581
다사49504925,1744.7142857142858
다사49504975,840.0
다사49505025,53.333333333333336
다사49505050,12.0
다사49505200,3.5
다사49505225,3.5
다사49505375,16.88888888888889
다사49505400,16.88888888888889
다사49505425,32.707070707070706
다사49505450,32.707070707070706
다사49505475,15.818181818181818
다사49505500,15.818181818181818
다사49505900,24.5
다사49505925,24.5
다사49505950,5.166666666666667
다사49506000,88.66666666666667
다사49753825,37.833333333333336
다사49753975,1.5365853658536586
다사49754025,11.142857142857142
다사49754050,11.142857142857142
다사49754150,516.3333333333334
다사49754175,516.3333333333334
다사49754200,516.3333333333334
다사49754225,516.3333333333334
다사49754625,53.075
다사49754750,53.075
다사49754775,1237.3826923076924
다사49754800,690.0
다사49754925,1744.7142857142858
다사49754975,840.0
다사49755025,12.0
다사49755150,2284.0
다사49755350,16.88888888888889
다사49755375,16.88888888888889
다사49755400,16.88888888888889
다사49755500,15.818181818181818
다사49755525,15.818181818181818
다사49755825,1221.5
다사49755850,1221.5
다사49755900,453.2
다사49755950,5.166666666666667
다사49756000,88.66666666666667
다사50003775,85.58333333333334
다사50003800,37.833333333333336
다사50003825,37.833333333333336
다사50003925,98.0
다사50003950,98.0
다사50003975,99.53658536585364
다사50004000,1.5365853658536586
다사50004175,521.0833333333334
다사50004200,516.3333333333334
다사50004625,53.075
다사50004650,53.075
다사50004725,53.075
다사50004750,53.075
다사50004800,690.0
다사50004825,690.0
다사50004925,1744.7142857142858
다사50005150,2284.0
다사50005350,16.88888888888889
다사50005525,15.818181818181818
다사50005725,57.333333333333336
다사50005800,684.0
다사50005825,684.0
다사50005900,453.2
다사50005925,453.2
다사50006000,88.66666666666667
다사50006025,88.66666666666667
다사50253750,102.25
다사50253775,140.08333333333334
다사50253800,37.833333333333336
다사50254000,1.5365853658536586
다사50254175,4.75
다사50254650,53.075
다사50254700,53.075
다사50254725,53.075
다사50254825,690.0
다사50254850,690.0
다사50254900,1744.7142857142858
다사50254925,1744.7142857142858
다사50255500,15.818181818181818
다사50255525,15.818181818181818
다사50255550,11.1
다사50255700,362.1666666666667
다사50255725,419.5
다사50255750,57.333333333333336
다사50255800,684.0
다사50255925,453.2
다사50255975,227.33333333333331
다사50256000,227.33333333333331
다사50256025,88.66666666666667
다사50256075,227.33333333333331
다사50256100,250.91666666666669
다사50256125,23.58333333333333
다사50256150,23.58333333333333
다사50503750,47.75
다사50504000,1.5365853658536586
다사50504025,1.5365853658536586
다사50504175,4.75
다사50504650,3421.275
다사50504675,3421.275
다사50504700,53.075
다사50504850,2620.125
다사50504875,1788.8392857142858
다사50504900,1744.7142857142858
다사50504975,639.0
다사50505275,204.3
다사50505300,263.55
다사50505325,263.55
다사50505350,263.55
다사50505375,2.5
다사50505550,17.982352941176472
다사50505575,17.982352941176472
다사50505600,17.982352941176472
다사50505625,283.375
다사50505650,283.375
다사50505675,645.5416666666667
다사50505700,362.1666666666667
다사50505725,362.1666666666667
다사50505750,57.333333333333336
다사50505925,453.2
다사50506000,227.33333333333331
다사50506025,227.33333333333331
다사50506050,227.33333333333331
다사50506075,227.33333333333331
다사50506150,23.58333333333333
다사50753950,55.0
다사50753975,55.0
다사50754025,1.5365853658536586
다사50754175,4.75
다사50754650,3368.2
다사50754825,1930.125
다사50754850,1930.125
다사50754950,639.0
다사50754975,639.0
다사50755125,251.0
다사50755275,590.3
다사50755300,445.25
다사50755350,2.5
다사50755500,6.882352941176471
다사50755525,6.882352941176471
다사50755550,6.882352941176471
다사50755600,17.982352941176472
다사50755625,294.475
다사50755675,362.1666666666667
다사50755750,57.333333333333336
다사50755775,57.333333333333336
다사50756025,227.33333333333331
다사50756125,23.58333333333333
다사50756150,23.58333333333333
다사51003750,1.5365853658536586
다사51003775,32.28658536585366
다사51003800,1.5365853658536586
다사51003825,1.5365853658536586
다사51003850,1.5365853658536586
다사51003875,1.5365853658536586
다사51003900,1.5365853658536586
다사51003975,56.53658536585366
다사51004000,56.53658536585366
다사51004025,56.53658536585366
다사51004050,56.53658536585366
다사51004075,55.0
다사51004100,55.0
다사51004375,17.2
다사51004400,17.2
다사51004425,17.2
다사51004450,17.2
다사51004650,3368.2
다사51004825,1930.125
다사51004950,639.0
다사51005275,2.5
다사51005300,505.0
다사51005350,2.5
다사51005600,6.882352941176471
다사51005625,301.3573529411765
다사51005650,294.475
다사51006125,23.58333333333333
다사51006150,23.58333333333333
다사51253775,30.75
다사51253900,1.5365853658536586
다사51253925,1.5365853658536586
다사51253950,1.5365853658536586
다사51253975,1.5365853658536586
다사51254050,1664.0
다사51254075,1664.0
다사51254375,17.2
다사51254650,3368.2
다사51254800,1930.125
다사51254825,1930.125
다사51254950,639.0
다사51255250,2.5
다사51255275,119.0
다사51255300,119.0
다사51255325,2.5
다사51255350,2.5
다사51255625,6.882352941176471
다사51255650,301.3573529411765
다사51255750,58.77777777777778
다사51255775,58.77777777777778
다사51255800,58.77777777777778
다사51256150,23.58333333333333
다사51256175,23.58333333333333
다사51256225,23.58333333333333
다사51503775,30.75
다사51503875,148.66666666666666
다사51503900,148.66666666666666
다사51503925,148.66666666666666
다사51504125,572.0
