역사명,공원수,공원목록,한강공원수,한강공원목록,호선1,호선2,호선3,호선4,호선5,총 호선 수
수서,2,"숯내, 탄천",0,없음,수도권 광역급행철도,분당선,3호선,,,3
삼성,2,"봉은, 탄천",0,없음,수도권 광역급행철도,,,,,1
서울,3,"남산, 서소문역사공원, 손기정체육공원",0,없음,수도권 광역급행철도,,,,,1
연신내,1,불광<시공원>,0,없음,수도권 광역급행철도,6호선,3호선,,,3
김포공항,0,없음,0,없음,김포골드라인,공항철도1호선,9호선,5호선,서해선,5
신설동,2,"동묘, 숭인",0,없음,우이신설선,2호선,1호선,,,3
보문,4,"(낙산, 개운산<시공원>, 낙산, 숭인",0,없음,우이신설선,6호선,,,,2
성신여대입구(돈암),2,"개운산<시공원>, 성북<시공원>",0,없음,우이신설선,4호선,,,,2
정릉,2,"(북한산, 성북<시공원>",0,없음,우이신설선,,,,,1
북한산보국문,1,(북한산,0,없음,우이신설선,,,,,1
솔샘,1,(북한산,0,없음,우이신설선,,,,,1
삼양사거리,1,(북한산,0,없음,우이신설선,,,,,1
삼양,1,(북한산,0,없음,우이신설선,,,,,1
화계,1,(북한산,0,없음,우이신설선,,,,,1
가오리,0,없음,0,없음,우이신설선,,,,,1
4.19민주묘지,3,"(북한산, 솔밭, 쌍문<시공원>",0,없음,우이신설선,,,,,1
솔밭공원,2,"솔밭, 쌍문<시공원>",0,없음,우이신설선,,,,,1
북한산우이,0,없음,0,없음,우이신설선,,,,,1
관악산(서울대),1,관악산<시공원>,0,없음,신림선,,,,,1
서울대벤처타운,2,"관악산<시공원>, 장군봉<시공원>",0,없음,신림선,,,,,1
서원,2,"관악산<시공원>, 장군봉<시공원>",0,없음,신림선,,,,,1
신림,2,"관악산<시공원>, 장군봉<시공원>",0,없음,신림선,2호선,,,,2
당곡,2,"보라매, 상도<시공원>",0,없음,신림선,,,,,1
보라매병원,1,보라매,0,없음,신림선,,,,,1
보라매공원,1,보라매,0,없음,신림선,,,,,1
보라매,3,"노량진<시공원>, 메낙골, 보라매",0,없음,신림선,7호선,,,,2
서울지방병무청,2,"노량진<시공원>, 메낙골",0,없음,신림선,,,,,1
대방,2,"노량진<시공원>, 자매",0,없음,신림선,경부선,,,,2
샛강,2,"노량진<시공원>, 자매",0,없음,신림선,9호선,,,,2
청계산입구,2,"인능산1<시공원>, 청계산<시공원>",0,없음,신분당선,,,,,1
양재시민의숲(매헌),6,"대모산<시공원>, 마방, 바우뫼, 시민의숲, 양재, 양재천",0,없음,신분당선,,,,,1
양재(서초구청),2,"도곡근린공원, 우면산<시공원>",0,없음,신분당선,3호선,,,,2
강남,2,"명달, 역삼",0,없음,신분당선,2호선,,,,2
신논현,2,"명달, 역삼",0,없음,신분당선(연장2),9호선,,,,2
논현,2,"신동, 학동",0,없음,신분당선(연장2),7호선,,,,2
신사,3,"명주, 신동, 학동",0,없음,신분당선(연장2),3호선,,,,2
김포공항,0,없음,0,없음,김포골드라인,공항철도1호선,9호선,5호선,서해선,5
마곡나루,1,서울식물원,0,없음,공항철도1호선,9호선,,,,2
디지털미디어시티,2,"문화비축기지, 봉산<시공원>",0,없음,공항철도1호선,6호선,경의중앙선,,,3
홍대입구,1,와우근린공원,0,없음,공항철도1호선,경의중앙선,2호선,,,3
공덕,1,효창<시공원>,0,없음,공항철도1호선,6호선,5호선,경의중앙선,,4
서울역,3,"남산, 서소문역사공원, 손기정체육공원",0,없음,공항철도1호선,경의중앙선,경부선,4호선,1호선,5
중앙보훈병원,1,일자산<시공원>,0,없음,9호선(연장),,,,,1
둔촌오륜,2,"성내천, 올림픽공원",0,없음,9호선(연장),,,,,1
올림픽공원(한국체대),2,"성내천, 올림픽공원",0,없음,9호선(연장),5호선,,,,2
한성백제,2,"방이, 올림픽공원",0,없음,9호선(연장),,,,,1
송파나루,6,"동산, 방이, 방이동고분, 송파, 송파나루근린공원, 올림픽공원",0,없음,9호선(연장),,,,,1
석촌,4,"동산, 백제초기적석총, 송파, 송파나루근린공원",0,없음,9호선(연장),8호선,,,,2
석촌고분,4,"백제초기적석총, 삼전, 송파나루근린공원, 탄천",0,없음,9호선(연장),,,,,1
삼전,3,"삼전, 잠실, 탄천",0,없음,9호선(연장),,,,,1
종합운동장,3,"(광나루지구, 아시아, 탄천",0,없음,9호선(연장),2호선,,,,2
봉은사,2,"봉은, 탄천",0,없음,9호선(연장),,,,,1
삼성중앙,3,"봉은, 선·정릉, 청담",0,없음,9호선(연장),,,,,1
선정릉,1,선·정릉,0,없음,9호선(연장),분당선,,,,2
언주,1,역삼,0,없음,9호선(연장),,,,,1
신논현,2,"명달, 역삼",0,없음,신분당선(연장2),9호선,,,,2
사평,2,"명달, 서리풀<시공원>",0,없음,9호선,,,,,1
고속터미널,2,"서리풀<시공원>, 잠원지구",0,없음,9호선,7호선,3호선,,,3
신반포,3,"반포, 서리풀<시공원>, 잠원지구",0,없음,9호선,,,,,1
구반포,3,"동작주차, 반포, 잠원지구",0,없음,9호선,,,,,1
동작(현충원),2,"동작주차, 잠원지구",0,없음,9호선,4호선,,,,2
흑석(중앙대입구),2,"노량진<시공원>, 용봉정",0,없음,9호선,,,,,1
노들,4,"노량진<시공원>, 배수지공원, 사육신공원, 용봉정",0,없음,9호선,,,,,1
노량진,3,"노량진<시공원>, 사육신공원, 여의도지구",0,없음,9호선,경부선,,,,2
샛강,2,"노량진<시공원>, 자매",0,없음,신림선,9호선,,,,2
여의도,2,"여의도, 자매",0,없음,9호선,5호선,,,,2
국회의사당,2,"여의도, 여의도지구",0,없음,9호선,,,,,1
당산,2,"양화지구, 여의도지구",1,양화,9호선,2호선,,,,2
선유도,3,"목마, 선유도공원, 양화지구",1,양화,9호선,,,,,1
신목동,5,"목동, 목마, 양화지구, 양화폭포, 용왕산<시공원>",0,없음,9호선,,,,,1
염창,3,"목동, 양화폭포, 용왕산<시공원>",0,없음,9호선,,,,,1
등촌,2,"봉제산<시공원>, 염창<시공원>",0,없음,9호선,,,,,1
증미,2,"염창<시공원>, 황금내",0,없음,9호선,,,,,1
가양,4,"공암나루, 구암, 서낭당, 황금내",0,없음,9호선,,,,,1
양천향교,5,"공암나루, 구암, 궁산<시공원>, 등촌, 서울식물원",0,없음,9호선,,,,,1
마곡나루,2,"마곡(미조성, 서울식물원",0,없음,공항철도1호선,9호선,,,,2
신방화,1,옹기골,0,없음,9호선,,,,,1
공항시장,0,없음,0,없음,9호선,,,,,1
김포공항,0,없음,0,없음,김포골드라인,공항철도1호선,9호선,5호선,서해선,5
개화,0,없음,0,없음,9호선,,,,,1
복정,2,"율현공원, 탄천",0,없음,8호선,,,,,1
장지,4,"문정동근린공원, 연화, 장지<시공원>, 탄천",0,없음,8호선,,,,,1
문정,4,"건너말, 문정동근린공원, 연화, 탄천",0,없음,8호선,,,,,1
가락시장,4,"가락, 건너말, 숯내, 훼밀리",0,없음,8호선,3호선,,,,2
송파,3,"동산, 송이, 송파",0,없음,8호선,,,,,1
석촌,4,"동산, 백제초기적석총, 송파, 송파나루근린공원",0,없음,9호선(연장),8호선,,,,2
잠실(송파구청),4,"방이, 벚꽃, 송파나루근린공원, 신천교통",0,없음,8호선,2호선,,,,2
몽촌토성(평화의문),3,"방이, 송파나루근린공원, 올림픽공원",0,없음,8호선,,,,,1
강동구청,4,"성내, 올림픽공원, 태양, 풍납",0,없음,8호선,,,,,1
천호(풍납토성),3,"광나루지구, 천호, 풍납",0,없음,8호선,5호선,,,,2
암사,2,"광나루지구, 천호",1,광나루,8호선,,,,,1
암사역사공원,1,샛마을,0,없음,8호선,,,,,1
온수(성공회대입구),1,푸른수목원,0,없음,7호선,경인선,,,,2
천왕,0,없음,0,없음,7호선,,,,,1
가산디지털단지,1,금천한내(안양천,0,없음,7호선,경부선,,,,2
남구로,0,없음,0,없음,7호선,,,,,1
대림(구로구청),2,"구로, 대림",0,없음,7호선,2호선,,,,2
신풍,3,"메낙골, 보라매, 신길",0,없음,7호선,,,,,1
보라매,3,"노량진<시공원>, 메낙골, 보라매",0,없음,신림선,7호선,,,,2
신대방삼거리,2,"노량진<시공원>, 보라매",0,없음,7호선,,,,,1
장승배기,1,노량진<시공원>,0,없음,7호선,,,,,1
상도,2,"노량진<시공원>, 상도<시공원>",0,없음,7호선,,,,,1
숭실대입구(살피재),1,상도<시공원>,0,없음,7호선,,,,,1
남성,3,"(까치산, 3.1, 까치산<시공원>",0,없음,7호선,,,,,1
이수,1,3.1,0,없음,7호선,,,,,1
내방,1,서리풀<시공원>,0,없음,7호선,,,,,1
고속터미널,1,서리풀<시공원>,0,없음,9호선,7호선,3호선,,,3
반포,2,"서리풀<시공원>, 신동",0,없음,7호선,,,,,1
논현,2,"신동, 학동",0,없음,신분당선(연장2),7호선,,,,2
학동,1,학동,0,없음,7호선,,,,,1
강남구청,0,없음,0,없음,7호선,분당선,,,,2
청담,3,"봉은, 청담, 청수",0,없음,7호선,,,,,1
뚝섬유원지,1,(뚝섬지구,1,뚝섬,7호선,,,,,1
건대입구,1,광진광장,0,없음,7호선,2호선,,,,2
어린이대공원(세종대),2,"광진광장, 어린이대공원",0,없음,7호선,,,,,1
군자(능동),3,"어린이대공원, 중랑천, 중랑천둔치",0,없음,7호선,5호선,,,,2
중곡,3,"용마<시공원>, 용마폭포공원, 중랑천둔치",0,없음,7호선,,,,,1
용마산,4,"용마<시공원>, 용마폭포공원, 중랑천둔치, 중랑천변",0,없음,7호선,,,,,1
사가정,2,"용마<시공원>, 용마폭포공원",0,없음,7호선,,,,,1
면목,0,없음,0,없음,7호선,,,,,1
상봉(시외버스터미널),0,없음,0,없음,7호선,중앙선,,,,2
중화,1,봉화산<시공원>,0,없음,7호선,,,,,1
먹골,2,"봉화산<시공원>, 중랑천",0,없음,7호선,,,,,1
태릉입구,3,"봉화산<시공원>, 중랑천, 한내",0,없음,7호선,6호선,,,,2
공릉(서울과학기술대),1,한내,0,없음,7호선,,,,,1
하계,3,"골마을, 등나무, 중계",0,없음,7호선,,,,,1
중계,10,"가재울, 노해, 느티울, 달맞이, 당현천, 등나무, 마들, 원터, 중계, 한글비",0,없음,7호선,,,,,1
노원,4,"느티울, 당현천, 온수, 원터",0,없음,7호선,4호선,,,,2
마들,5,"갈말, 갈울, 상계, 수락산<시공원>, 온수",0,없음,7호선,,,,,1
수락산,2,"벽운, 수락산<시공원>",0,없음,7호선,,,,,1
도봉산,1,서울창포원,0,없음,7호선,경원선,,,,2
신내,1,봉화산<시공원>,0,없음,6호선,경춘선,,,,2
봉화산(서울의료원),3,"공릉동, 봉화산<시공원>, 솔밭",0,없음,6호선,,,,,1
화랑대(서울여대입구),3,"공릉동, 봉화산<시공원>, 솔밭",0,없음,6호선,,,,,1
태릉입구,3,"봉화산<시공원>, 중랑천, 한내",0,없음,7호선,6호선,,,,2
석계,2,"중랑천, 한내",0,없음,6호선,경원선,,,,2
돌곶이,1,청량<시공원>,0,없음,6호선,,,,,1
상월곡(한국과학기술연구원),2,"(오동, 청량<시공원>",0,없음,6호선,,,,,1
월곡(동덕여대),3,"(오동, (청량, 청량<시공원>",0,없음,6호선,,,,,1
고려대(종암),3,"(청량, 개운산<시공원>, 홍릉<시공원>",0,없음,6호선,,,,,1
안암(고대병원앞),1,개운산<시공원>,0,없음,6호선,,,,,1
보문,4,"(낙산, 개운산<시공원>, 낙산, 숭인",0,없음,우이신설선,6호선,,,,2
창신,4,"(낙산, 낙산, 동묘, 숭인",0,없음,6호선,,,,,1
동묘앞,3,"낙산, 동묘, 숭인",0,없음,6호선,1호선,,,,2
신당,1,동묘,0,없음,6호선,2호선,,,,2
청구,2,"남산, 응봉공원",0,없음,6호선,5호선,,,,2
약수,2,"남산, 응봉공원",0,없음,6호선,3호선,,,,2
버티고개,2,"남산, 응봉공원",0,없음,6호선,,,,,1
한강진,2,"남산, 한남",0,없음,6호선,,,,,1
이태원,2,"남산, 한남",0,없음,6호선,,,,,1
녹사평(용산구청),0,없음,0,없음,6호선,,,,,1
삼각지,0,없음,0,없음,6호선,4호선,,,,2
효창공원앞,1,효창<시공원>,0,없음,6호선,경의중앙선,,,,2
공덕,1,효창<시공원>,0,없음,공항철도1호선,6호선,5호선,경의중앙선,,4
대흥(서강대앞),0,없음,0,없음,6호선,,,,,1
광흥창(서강),1,와우근린공원,0,없음,6호선,,,,,1
상수,1,와우근린공원,0,없음,6호선,,,,,1
합정,1,망원지구,0,없음,6호선,2호선,,,,2
망원,0,없음,0,없음,6호선,,,,,1
마포구청,1,월드컵,0,없음,6호선,,,,,1
월드컵경기장(성산),2,"문화비축기지, 월드컵",0,없음,6호선,,,,,1
디지털미디어시티,2,"문화비축기지, 봉산<시공원>",0,없음,공항철도1호선,6호선,경의중앙선,,,3
증산(명지대앞),1,봉산<시공원>,0,없음,6호선,,,,,1
새절(신사),1,봉산<시공원>,0,없음,6호선,,,,,1
구산,0,없음,0,없음,6호선,,,,,1
연신내,1,불광<시공원>,0,없음,수도권 광역급행철도,6호선,3호선,,,3
독바위,3,"(북한산, 북한산(시공원, 불광<시공원>",0,없음,6호선,,,,,1
불광,3,"(북한산, 녹번서, 불광<시공원>",0,없음,6호선,3호선,,,,2
역촌,1,녹번서,0,없음,6호선,,,,,1
응암,0,없음,0,없음,6호선,,,,,1
강일,1,동명,0,없음,5호선,,,,,1
마천,2,"성내천, 천마<시공원>",0,없음,5호선,,,,,1
거여,5,"거여, 목련, 문정동근린공원, 성내천, 장지<시공원>",0,없음,5호선,,,,,1
개롱,9,"개농, 거여, 누에머리, 두댐이, 목련, 문정동근린공원, 성내천, 오금<시공원>, 장지<시공원>",0,없음,5호선,,,,,1
오금,6,"가락, 백토, 성내천, 송이, 오금<시공원>, 웃말",0,없음,5호선,3호선,,,,2
방이,5,"방이동고분, 백토, 오금<시공원>, 올림픽공원, 웃말",0,없음,5호선,,,,,1
올림픽공원(한국체대),2,"성내천, 올림픽공원",0,없음,9호선(연장),5호선,,,,2
둔촌동,1,올림픽공원,0,없음,5호선,,,,,1
상일동,4,"동명, 명일<시공원>, 방죽, 샘터",0,없음,5호선,,,,,1
고덕,9,"까치, 동자, 두레, 명일<시공원>, 방죽, 샘터, 샛마을, 송림, 원터",0,없음,5호선,,,,,1
명일,3,"까치, 샛마을, 원터",0,없음,5호선,,,,,1
굽은다리(강동구민회관앞),1,샛마을,0,없음,5호선,,,,,1
길동,0,없음,0,없음,5호선,,,,,1
강동,1,성내,0,없음,5호선,,,,,1
천호(풍납토성),3,"광나루지구, 천호, 풍납",0,없음,8호선,5호선,,,,2
광나루(장신대),0,없음,0,없음,5호선,,,,,1
아차산(어린이대공원후문),1,어린이대공원,0,없음,5호선,,,,,1
군자(능동),3,"어린이대공원, 중랑천, 중랑천둔치",0,없음,7호선,5호선,,,,2
장한평,3,"전농천, 중랑천, 중랑천둔치",0,없음,5호선,,,,,1
답십리,4,"간데메, 용답꽃공원, 용답휴식, 전농천",0,없음,5호선,,,,,1
마장,2,"용답휴식, 용두근린공원",0,없음,5호선,,,,,1
왕십리(성동구청),0,없음,0,없음,5호선,경원선,2호선,,,3
행당,2,"(무학봉, 무학봉",0,없음,5호선,,,,,1
신금호,2,"금호, 응봉공원",0,없음,5호선,,,,,1
청구,2,"남산, 응봉공원",0,없음,6호선,5호선,,,,2
동대문역사문화공원,2,"남산, 훈련원",0,없음,5호선,4호선,2호선,,,3
을지로4가,3,"종묘, 종묘광장, 훈련원",0,없음,5호선,2호선,,,,2
종로3가,6,"원서, 종묘, 종묘광장, 창경, 창덕, 탑골",0,없음,5호선,3호선,1호선,,,3
광화문(세종문화회관),7,"경복, 경희궁<시공원>, 광화문열린마당, 덕수, 서울광장, 세종로광장, 정동",0,없음,5호선,,,,,1
